kp_id,kp_url,kp_full_name,name,vote_date,vote
839650,https://www.kinopoisk.ru/film/839650/,Суперсемейка 2 (2018),Incredibles 2,16.11.2019,8
463354,https://www.kinopoisk.ru/film/463354/,Петля времени (2012),Looper,03.11.2019,6
736206,https://www.kinopoisk.ru/film/736206/,Лок (2013),Locke,20.10.2019,7
1199596,https://www.kinopoisk.ru/film/1199596/,"Гори, гори ясно (2019)",Brightburn,19.10.2019,4
496,https://www.kinopoisk.ru/film/496/,Особое мнение (2002),Minority Report,13.10.2019,9
837552,https://www.kinopoisk.ru/film/837552/,Сделано в Америке (2017),American Made,05.10.2019,6
1048334,https://www.kinopoisk.ru/film/1048334/,Джокер (2019),Joker,04.10.2019,5
1007049,https://www.kinopoisk.ru/film/1007049/,Аладдин (2019),Aladdin,21.09.2019,5
993591,https://www.kinopoisk.ru/film/993591/,Завод (2018), ,16.09.2019,7
922029,https://www.kinopoisk.ru/film/922029/,Щегол (2019),The Goldfinch,13.09.2019,10
1044906,https://www.kinopoisk.ru/film/1044906/,Тихое место (2018),A Quiet Place,25.08.2019,4
1108577,https://www.kinopoisk.ru/film/1108577/,Зеленая книга (2018),Green Book,24.08.2019,9
3908,https://www.kinopoisk.ru/film/3908/,Плохие парни (1995),Bad Boys,23.08.2019,6
908691,https://www.kinopoisk.ru/film/908691/,Шафт (2019),Shaft,23.08.2019,5
88173,https://www.kinopoisk.ru/film/88173/,Алита: Боевой ангел (2019),Alita: Battle Angel,11.08.2019,7
1044601,https://www.kinopoisk.ru/film/1044601/,Стекло (2019),Glass,09.08.2019,9
976520,https://www.kinopoisk.ru/film/976520/,Подстава (2018),Set It Up,03.08.2019,5
1163897,https://www.kinopoisk.ru/film/1163897/,Похищая Стеллу (2019),Kidnapping Stella,23.07.2019,5
1219425,https://www.kinopoisk.ru/film/1219425/,Тайная одержимость (2019),Secret Obsession,21.07.2019,4
1043758,https://www.kinopoisk.ru/film/1043758/,Паразиты (2019),Gisaengchung,16.07.2019,10
761933,https://www.kinopoisk.ru/film/761933/,Я – начало (2014),I Origins,12.07.2019,10
1227803,https://www.kinopoisk.ru/series/1227803/,"Чернобыль (мини-сериал, 2019)",Chernobyl,09.07.2019,10
1154641,https://www.kinopoisk.ru/film/1154641/,Идеальный бойфренд (2019),The Perfect Date,06.07.2019,6
505995,https://www.kinopoisk.ru/film/505995/,Убийство на яхте (2019),Murder Mystery,06.07.2019,5
843479,https://www.kinopoisk.ru/film/843479/,Фантастические твари: Преступления Грин-де-Вальда (2018),Fantastic Beasts: The Crimes of Grindelwald,31.05.2019,5
1224066,https://www.kinopoisk.ru/series/1224066/,"Толя-робот (сериал, 2019)", ,30.05.2019,9
299,https://www.kinopoisk.ru/film/299/,Матрица: Перезагрузка (2003),The Matrix Reloaded,26.05.2019,8
301,https://www.kinopoisk.ru/film/301/,Матрица (1999),The Matrix,06.05.2019,9
1009413,https://www.kinopoisk.ru/film/1009413/,Лето (2018), ,04.05.2019,10
842408,https://www.kinopoisk.ru/series/842408/,"Лондонград. Знай наших (сериал, 2015)", ,02.05.2019,7
1254103,https://www.kinopoisk.ru/film/1254103/,Homecoming: A Film by Beyoncé (2019), ,18.04.2019,9
463634,https://www.kinopoisk.ru/film/463634/,Веном (2018),Venom,13.04.2019,5
942396,https://www.kinopoisk.ru/film/942396/,"Дом, который построил Джек (2018)",The House That Jack Built,07.04.2019,7
