imdb,kp_poster_url,year,kp_id,type,genres,countries
tt4501244,https://st.kp.yandex.net/images/film_big/930000.jpg,2016,930000,movie,[{'name': 'комедия'}],"[{'name': 'США'}, {'name': 'Камбоджа'}]"
tt0198781,https://st.kp.yandex.net/images/film_big/458.jpg,2001,458,cartoon,"[{'name': 'мультфильм'}, {'name': 'фэнтези'}, {'name': 'комедия'}, {'name': 'приключения'}, {'name': 'семейный'}]",[{'name': 'США'}]
tt14817272,https://st.kp.yandex.net/images/film_big/4542882.jpg,2022,4542882,movie,"[{'name': 'триллер'}, {'name': 'драма'}, {'name': 'криминал'}, {'name': 'детектив'}]",[{'name': 'США'}]
tt6654210,https://st.kp.yandex.net/images/film_big/1238476.jpg,2021,1238476,movie,"[{'name': 'фантастика'}, {'name': 'боевик'}]",[{'name': 'США'}]
tt1951265,https://st.kp.yandex.net/images/film_big/661911.jpg,2014,661911,movie,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'триллер'}, {'name': 'приключения'}]","[{'name': 'США'}, {'name': 'Канада'}, {'name': 'Франция'}]"
tt10341034,https://st.kp.yandex.net/images/film_big/1368311.jpg,2020,1368311,movie,"[{'name': 'детектив'}, {'name': 'триллер'}]",[{'name': 'Франция'}]
tt0313737,https://st.kp.yandex.net/images/film_big/317.jpg,2002,317,movie,"[{'name': 'мелодрама'}, {'name': 'комедия'}]","[{'name': 'США'}, {'name': 'Австралия'}]"
tt0441773,https://st.kp.yandex.net/images/film_big/103734.jpg,2008,103734,cartoon,"[{'name': 'мультфильм'}, {'name': 'фэнтези'}, {'name': 'боевик'}, {'name': 'драма'}, {'name': 'комедия'}, {'name': 'приключения'}, {'name': 'семейный'}]","[{'name': 'США'}, {'name': 'Китай'}]"
tt8718158,https://st.kp.yandex.net/images/film_big/1282222.jpg,2021,1282222,movie,"[{'name': 'мелодрама'}, {'name': 'комедия'}]",[{'name': 'США'}]
tt1041829,https://st.kp.yandex.net/images/film_big/321842.jpg,2009,321842,movie,"[{'name': 'мелодрама'}, {'name': 'комедия'}, {'name': 'драма'}]",[{'name': 'США'}]
tt11616036,https://st.kp.yandex.net/images/film_big/1252962.jpg,2020,1252962,movie,"[{'name': 'мелодрама'}, {'name': 'комедия'}]",[{'name': 'Россия'}]
tt0317740,https://st.kp.yandex.net/images/film_big/318.jpg,2003,318,movie,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'криминал'}]","[{'name': 'США'}, {'name': 'Франция'}, {'name': 'Италия'}, {'name': 'Великобритания'}, {'name': 'Германия'}]"
tt3631112,https://st.kp.yandex.net/images/film_big/928391.jpg,2016,928391,movie,"[{'name': 'триллер'}, {'name': 'детектив'}, {'name': 'драма'}, {'name': 'криминал'}]",[{'name': 'США'}]
tt7888964,https://st.kp.yandex.net/images/film_big/1309596.jpg,2021,1309596,movie,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'криминал'}]","[{'name': 'США'}, {'name': 'Япония'}]"
tt0427229,https://st.kp.yandex.net/images/film_big/86646.jpg,2006,86646,movie,"[{'name': 'мелодрама'}, {'name': 'комедия'}]",[{'name': 'США'}]
tt6264654,https://st.kp.yandex.net/images/film_big/1199100.jpg,2021,1199100,movie,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'комедия'}, {'name': 'мелодрама'}]",[{'name': 'США'}]
tt0448115,https://st.kp.yandex.net/images/film_big/840372.jpg,2019,840372,movie,"[{'name': 'фэнтези'}, {'name': 'боевик'}, {'name': 'комедия'}]","[{'name': 'США'}, {'name': 'Канада'}]"
tt6334354,https://st.kp.yandex.net/images/film_big/1008477.jpg,2021,1008477,movie,"[{'name': 'боевик'}, {'name': 'фантастика'}, {'name': 'комедия'}, {'name': 'фэнтези'}]",[{'name': 'США'}]
tt7126948,https://st.kp.yandex.net/images/film_big/1046969.jpg,2020,1046969,movie,"[{'name': 'фэнтези'}, {'name': 'боевик'}, {'name': 'приключения'}, {'name': 'фантастика'}]","[{'name': 'США'}, {'name': 'Великобритания'}, {'name': 'Испания'}]"
tt7097896,https://st.kp.yandex.net/images/film_big/1227967.jpg,2021,1227967,movie,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'ужасы'}]","[{'name': 'США'}, {'name': 'Китай'}]"
tt0373889,https://st.kp.yandex.net/images/film_big/48356.jpg,2007,48356,movie,"[{'name': 'фэнтези'}, {'name': 'приключения'}, {'name': 'семейный'}]","[{'name': 'Великобритания'}, {'name': 'США'}]"
tt0304141,https://st.kp.yandex.net/images/film_big/322.jpg,2004,322,movie,"[{'name': 'фэнтези'}, {'name': 'приключения'}, {'name': 'семейный'}]","[{'name': 'Великобритания'}, {'name': 'США'}]"
tt0330373,https://st.kp.yandex.net/images/film_big/8408.jpg,2005,8408,movie,"[{'name': 'фэнтези'}, {'name': 'приключения'}, {'name': 'семейный'}]","[{'name': 'Великобритания'}, {'name': 'США'}]"
tt0295297,https://st.kp.yandex.net/images/film_big/688.jpg,2002,688,movie,"[{'name': 'фэнтези'}, {'name': 'приключения'}, {'name': 'семейный'}]","[{'name': 'Великобритания'}, {'name': 'США'}]"
tt11286314,https://st.kp.yandex.net/images/film_big/1338480.jpg,2021,1338480,movie,"[{'name': 'драма'}, {'name': 'фантастика'}, {'name': 'комедия'}]",[{'name': 'США'}]
tt16116174,https://st.kp.yandex.net/images/film_big/4716622.jpg,2022,4716622,movie,"[{'name': 'документальный'}, {'name': 'семейный'}]","[{'name': 'Великобритания'}, {'name': 'США'}]"
tt11738870,https://st.kp.yandex.net/images/film_big/1346996.jpg,2020,1346996,movie,[{'name': 'мелодрама'}],[{'name': 'США'}]
tt0314331,https://st.kp.yandex.net/images/film_big/6144.jpg,2003,6144,movie,"[{'name': 'мелодрама'}, {'name': 'комедия'}, {'name': 'драма'}]","[{'name': 'Великобритания'}, {'name': 'Франция'}, {'name': 'США'}]"
tt1291570,https://st.kp.yandex.net/images/film_big/463070.jpg,2014,463070,movie,"[{'name': 'триллер'}, {'name': 'криминал'}, {'name': 'детектив'}, {'name': 'фантастика'}]",[{'name': 'США'}]
tt13070602,https://st.kp.yandex.net/images/film_big/1423831.jpg,2021,1423831,movie,"[{'name': 'драма'}, {'name': 'мелодрама'}, {'name': 'комедия'}, {'name': 'приключения'}, {'name': 'семейный'}]","[{'name': 'Великобритания'}, {'name': 'США'}]"
